City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
6165406,thompson,CA,1644099168,55.7435,-97.8558,-7.47,86,100,4.74
6089245,norman wells,CA,1644099169,65.282,-126.8329,-3.51,90,97,6.85
4030556,rikitea,PF,1644099750,-23.1203,-134.9692,79.09,73,96,10.54
546105,nikolskoye,RU,1644098988,59.7035,30.7861,26.87,95,100,8.19
2136825,isangel,VU,1644099162,-19.55,169.2667,82.51,89,75,9.22
975436,mmabatho,ZA,1644099750,-25.85,25.6333,64.36,82,29,4.61
3450288,santa cruz cabralia,BR,1644099601,-16.2781,-39.0247,73.63,100,75,6.91
2126123,chokurdakh,RU,1644099751,70.6333,147.9167,-31.27,100,100,1.68
6201424,mataura,NZ,1644099751,-46.1927,168.8643,55.47,89,100,1.1
2074865,carnarvon,AU,1644099751,-24.8667,113.6333,77.07,88,75,9.22
2017155,saskylakh,RU,1644099752,71.9167,114.0833,-27.76,100,99,3.31
4020109,atuona,PF,1644099752,-9.8,-139.0333,79.03,77,6,22.24
3833367,ushuaia,AR,1644099551,-54.8,-68.3,56.82,58,40,24.16
5122534,jamestown,US,1644099702,42.097,-79.2353,19.04,33,20,4.61
100926,umm lajj,SA,1644099753,25.0213,37.2685,62.98,59,0,14.09
3471451,arraial do cabo,BR,1644099171,-22.9661,-42.0278,80.46,78,0,12.66
3430863,mar del plata,AR,1644098979,-38.0023,-57.5575,64.09,83,100,5.01
5546220,saint george,US,1644099302,37.1041,-113.5841,61.27,17,0,1.99
3831208,qaanaaq,GL,1644099753,77.484,-69.3632,1.17,97,100,2.62
2075265,busselton,AU,1644099754,-33.65,115.3333,66.04,90,18,6.85
935215,saint-philippe,RE,1644099754,-21.3585,55.7679,80.19,84,100,19.01
2171099,codrington,AU,1644099754,-38.2667,141.9667,63.64,66,52,11.77
964432,port alfred,ZA,1644099755,-33.5906,26.891,70.68,83,87,26.22
2395568,aplahoue,BJ,1644099755,6.9333,1.6833,77.4,71,0,4.83
3874787,punta arenas,CL,1644099599,-53.15,-70.9167,60.91,59,75,21.85
909863,luanshya,ZM,1644099755,-13.1367,28.4166,61.39,98,76,3.29
1787409,yangmei,CN,1644099756,24.1023,112.5618,41.63,91,100,3.04
337405,gambela,ET,1644099756,8.25,34.5833,80.38,27,98,0.54
2170577,cooma,AU,1644099756,-36.2333,149.1333,54.68,69,86,6.26
6180550,whitehorse,CA,1644099757,60.7161,-135.0538,27.1,82,100,11.99
86049,jalu,LY,1644099757,29.0331,21.5482,56.46,47,0,5.53
2206939,bluff,NZ,1644099757,-46.6,168.3333,55.8,65,62,12.5
3372707,ribeira grande,PT,1644098909,38.5167,-28.7,60.33,76,28,11.23
1507390,dikson,RU,1644099758,73.5069,80.5464,-19.23,100,99,3.18
5557293,sitka,US,1644099303,57.0531,-135.33,42.69,75,100,20.71
5106841,albany,US,1644099563,42.6001,-73.9662,17.1,55,3,3.0
1624041,ternate,ID,1644099758,0.8,127.4,79.7,83,100,9.13
1309937,maymyo,MM,1644099591,22.0333,96.4667,54.25,68,0,4.5
3366880,hermanus,ZA,1644099169,-34.4187,19.2345,72.9,83,26,14.67
3385899,tutoia,BR,1644099759,-2.7619,-42.2744,82.38,82,100,12.06
3424607,tasiilaq,GL,1644099759,65.6145,-37.6368,17.76,59,97,10.22
361291,hurghada,EG,1644099760,27.2574,33.8129,57.07,54,0,16.69
2613672,skorping,DK,1644099760,56.8363,9.8926,43.48,92,100,22.7
3981432,todos santos,MX,1644099760,23.45,-110.2167,74.1,50,7,4.07
1611406,chaiyaphum,TH,1644099761,15.75,102.0,72.05,60,78,11.14
2015306,tiksi,RU,1644099235,71.6872,128.8694,-22.47,98,91,7.61
2287778,jacqueville,CI,1644099761,5.2052,-4.4146,82.31,86,10,8.3
6185377,yellowknife,CA,1644099621,62.456,-114.3525,-9.71,86,20,5.75
582447,almaznyy,RU,1644099762,48.0448,40.045,19.54,94,15,5.59
1735799,sri aman,MY,1644099762,1.2376,111.4621,75.25,94,100,0.0
2163355,hobart,AU,1644099304,-42.8794,147.3294,64.02,72,75,1.01
2022572,khatanga,RU,1644099019,71.9667,102.5,-24.05,96,99,3.36
3456248,nortelandia,BR,1644099762,-14.4547,-56.8028,80.38,81,78,2.75
6355222,yulara,AU,1644098979,-25.2406,130.9889,69.64,49,0,9.22
3369157,cape town,ZA,1644099164,-33.9258,18.4232,73.11,63,5,1.01
5866583,kodiak,US,1644099763,57.79,-152.4072,36.91,87,100,5.75
2013727,vanavara,RU,1644099763,60.34,102.2797,16.77,93,100,10.0
124274,mehriz,IR,1644099764,31.5917,54.4318,37.9,28,0,3.06
3883457,lebu,CL,1644099764,-37.6167,-73.65,62.2,75,1,20.09
2028164,deputatskiy,RU,1644099102,69.3,139.9,-30.03,97,94,2.91
2121385,severo-kurilsk,RU,1644099764,50.6789,156.125,28.36,82,99,7.9
2516860,guia de isora,ES,1644099765,28.2115,-16.7795,61.43,63,0,1.99
1282256,hithadhoo,MV,1644099765,-0.6,73.0833,81.77,75,81,11.52
4032243,vaini,TO,1644099766,-21.2,-175.2,78.96,100,100,14.97
1006984,east london,ZA,1644099766,-33.0153,27.9116,69.35,88,100,16.53
1803616,liling,CN,1644099766,27.6667,113.5,40.89,88,100,2.06
4972220,millinocket,US,1644099767,45.6573,-68.7098,12.34,62,0,13.8
2122090,pevek,RU,1644099448,69.7008,170.3133,-27.63,99,34,2.24
4021858,guerrero negro,MX,1644099171,27.9769,-114.0611,70.09,22,0,7.52
2110227,butaritari,KI,1644099094,3.0707,172.7902,82.67,73,52,19.33
2729907,longyearbyen,SJ,1644099451,78.2186,15.6401,10.24,56,20,23.02
3336897,la rioja,ES,1644099480,42.25,-2.5,33.12,89,8,4.52
1623197,tual,ID,1644099767,-5.6667,132.75,83.3,74,100,9.75
3985710,cabo san lucas,MX,1644099689,22.8909,-109.9124,74.61,63,20,4.0
1174062,kharan,PK,1644099768,28.5833,65.4167,58.01,21,0,5.93
1687186,sarangani,PH,1644099768,5.4033,125.4636,81.16,78,62,28.19
2512186,puerto del rosario,ES,1644099378,28.5004,-13.8627,65.88,82,0,10.36
4035715,avarua,CK,1644099235,-21.2078,-159.775,78.85,89,75,18.41
1495626,pangody,RU,1644099234,65.85,74.4859,-18.62,100,100,3.02
5282297,bethel,US,1644099769,41.3712,-73.414,24.89,71,0,1.99
1516048,hovd,MN,1644099447,48.0056,91.6419,-13.43,78,21,4.09
3423146,ilulissat,GL,1644099769,69.2167,-51.1,-0.9,75,100,8.41
2021031,kyren,RU,1644099770,51.6828,102.1408,11.5,83,90,1.7
2036933,helong,CN,1644099770,42.5397,128.9972,2.07,83,29,7.31
2013279,vostok,RU,1644099770,46.4856,135.8833,-12.46,99,100,3.0
3652764,puerto ayora,EC,1644099771,-0.7393,-90.3518,78.55,85,70,5.99
3939168,huarmey,PE,1644099771,-10.0681,-78.1522,75.25,73,12,11.88
3383434,nieuw amsterdam,SR,1644099771,5.8833,-55.0833,78.82,94,40,0.0
3347019,namibe,AO,1644099772,-15.1961,12.1522,73.35,67,100,10.49
2128975,nemuro,JP,1644099772,43.3236,145.575,22.69,73,90,17.72
4034307,mahina,PF,1644099772,-17.5065,-149.489,85.77,58,40,11.5
2208248,kaitangata,NZ,1644099772,-46.2817,169.8464,54.93,60,95,5.86
3386213,touros,BR,1644099773,-5.1989,-35.4608,81.5,69,10,13.31
6144312,sept-iles,CA,1644099555,50.2001,-66.3821,4.05,57,20,1.01
2180815,tuatapere,NZ,1644099773,-46.1333,167.6833,55.81,78,99,3.4
2012530,zhigansk,RU,1644099774,66.7697,123.3711,-26.63,98,100,5.95
304183,bayir,TR,1644099774,37.2687,28.2167,30.72,69,27,1.57
4031574,provideniya,RU,1644099514,64.3833,-173.3,-4.45,85,2,10.25
2313762,libenge,CD,1644099775,3.65,18.6333,75.15,24,100,1.14
3443061,chuy,UY,1644099109,-33.6971,-53.4616,70.03,84,65,9.33
5848280,kapaa,US,1644099775,22.0752,-159.319,79.48,67,0,1.99
2013258,vrangel,RU,1644099775,42.7297,133.0839,9.48,65,6,16.91
6167817,torbay,CA,1644099776,47.6666,-52.7314,50.58,94,100,29.93
215771,isiro,CD,1644099776,2.7739,27.616,69.3,31,100,2.77
292968,abu dhabi,AE,1644099678,24.4667,54.3667,69.96,77,40,16.11
2090021,namatanai,PG,1644099776,-3.6667,152.4333,83.26,70,66,10.2
5855927,hilo,US,1644099551,19.7297,-155.09,75.79,79,100,5.75
3894426,coihaique,CL,1644099777,-45.5752,-72.0662,68.61,49,75,9.22
2155415,new norfolk,AU,1644099777,-42.7826,147.0587,63.66,60,96,2.42
2229761,kribi,CM,1644099777,2.95,9.9167,79.03,83,17,6.46
4566178,maricao,PR,1644099778,18.1808,-66.9799,71.53,90,93,5.97
1623446,tomohon,ID,1644099778,1.3346,124.8392,68.94,95,100,3.62
934322,mahebourg,MU,1644099778,-20.4081,57.7,79.25,89,40,11.5
3358666,aranos,NA,1644099779,-24.1333,19.1167,80.44,34,61,12.03
1256029,siruguppa,IN,1644099779,15.6333,76.9,67.78,46,60,5.95
3452440,prata,BR,1644099779,-19.3072,-48.9242,74.37,86,97,4.63
697608,pershotravneve,UA,1644099780,51.3929,28.8684,32.13,91,96,11.27
2392087,porto novo,BJ,1644099376,6.4965,2.6036,82.22,86,0,6.87
1806840,huilong,CN,1644099780,31.8111,121.655,37.04,60,37,5.26
3681966,gramalote,CO,1644099780,7.8875,-72.7975,72.23,91,89,1.01
3412093,vestmannaeyjar,IS,1644099781,63.4427,-20.2734,29.3,67,92,10.67
2057087,kupang,ID,1644099781,-10.1667,123.5833,78.91,85,58,10.56
6170031,tuktoyaktuk,CA,1644099781,69.4541,-133.0374,-32.8,75,20,11.5
1707108,latung,PH,1644099782,5.5,120.8833,81.48,73,100,4.21
922806,kipushi,CD,1644099782,-11.7667,27.2333,62.08,98,100,4.0
2146219,hervey bay,AU,1644099681,-25.2986,152.8535,75.04,82,89,11.99
5660340,kalispell,US,1644099280,48.1958,-114.3129,42.84,57,100,11.01
6111862,port hardy,CA,1644099446,50.6996,-127.4199,46.58,81,75,9.22
3598787,champerico,GT,1644099783,14.3,-91.9167,90.14,61,2,12.68
7117100,vila,PT,1644099310,42.0304,-8.1588,40.33,80,0,4.45
4004293,ixtapa,MX,1644099785,20.7,-105.2,76.23,69,40,13.8
3841956,parana,AR,1644099785,-31.732,-60.5238,76.57,57,33,16.71
286621,salalah,OM,1644099786,17.0151,54.0924,75.29,69,40,5.75
5192726,harrisburg,US,1644099492,40.2737,-76.8844,27.45,57,75,4.0
492860,sindor,RU,1644099787,62.8629,51.8905,-4.76,99,34,3.74
568633,chernoyerkovskaya,RU,1644099787,45.4331,37.7686,37.9,96,100,9.06
3665202,aripuana,BR,1644099787,-9.1667,-60.6333,77.09,96,69,2.28
1819729,victoria,HK,1644099691,22.2855,114.1577,60.24,83,100,1.99
3839307,rawson,AR,1644099468,-43.3002,-65.1023,62.17,45,0,10.49
2348595,azare,NG,1644099788,11.6765,10.1948,64.99,23,0,11.68
5742974,north bend,US,1644099788,43.4065,-124.2243,59.92,80,0,9.22
3904906,santa cruz,BO,1644099789,-17.8,-63.1667,71.65,94,100,9.22
3865086,bahia blanca,AR,1644099615,-38.7196,-62.2724,63.79,53,98,14.63
462988,zhirnov,RU,1644099789,48.1709,41.1261,20.52,81,95,8.61
609919,kuryk,KZ,1644099789,43.2,51.65,36.48,66,100,17.25
579432,balezino,RU,1644099790,57.9796,53.0106,16.36,95,100,6.73
3533462,acapulco,MX,1644099790,16.8634,-99.8901,84.02,70,0,5.75
4034496,fare,PF,1644099790,-16.7,-151.0167,81.36,72,16,20.27
5880054,barrow,US,1644099791,71.2906,-156.7887,-18.38,69,0,12.66
3430443,necochea,AR,1644099791,-38.5473,-58.7368,61.03,69,100,20.42
6690297,saint-leu,RE,1644099792,-21.15,55.2833,79.66,82,100,6.11
6096551,pangnirtung,CA,1644099792,66.1451,-65.7125,-27.31,100,100,1.14
3451234,rio claro,BR,1644099792,-22.4114,-47.5614,73.4,68,95,5.75
4500920,brigantine,US,1644099713,39.4101,-74.3646,30.25,50,0,14.97
2123814,leningradskiy,RU,1644099230,69.3833,178.4167,-22.02,96,8,3.74
509483,pinega,RU,1644099793,64.7001,43.3936,5.81,91,100,9.37
1649150,bengkulu,ID,1644099793,-3.8004,102.2655,72.93,95,100,9.95
2270385,camacha,PT,1644099449,33.0833,-16.3333,62.53,82,40,20.71
5861897,fairbanks,US,1644099654,64.8378,-147.7164,11.3,77,100,0.0
2126710,beringovskiy,RU,1644099304,63.05,179.3167,-10.55,93,54,13.78
321022,bitlis,TR,1644099794,38.5,42.25,5.63,60,1,3.38
935255,sainte-marie,RE,1644099794,-20.8968,55.5496,80.76,87,75,14.97
4362001,mayo,US,1644099795,38.8876,-76.5119,32.86,47,0,4.0
2096742,goroka,PG,1644099795,-6.0834,145.3873,61.43,96,100,2.46
3418910,upernavik,GL,1644099787,72.7868,-56.1549,-4.14,99,100,2.8
4033543,teahupoo,PF,1644099795,-17.8333,-149.2667,80.56,74,29,20.09
1015776,bredasdorp,ZA,1644099237,-34.5322,20.0403,68.29,86,87,14.45
1265452,kushalgarh,IN,1644099796,23.199,74.4507,61.02,26,0,4.54
3691582,talara,PE,1644099796,-4.5772,-81.2719,74.26,74,7,12.68
6014443,lac du bonnet,CA,1644099797,50.2536,-96.0612,10.09,87,100,4.5
3421319,nuuk,GL,1644099797,64.1835,-51.7216,7.41,85,100,6.91
2094342,kavieng,PG,1644099237,-2.5744,150.7967,82.29,75,53,4.59
218680,boende,CD,1644099797,-0.2167,20.8667,74.3,65,49,1.97
1267390,kavaratti,IN,1644099798,10.5669,72.642,78.08,63,15,8.9
6137462,saint-augustin,CA,1644099305,51.226,-58.6502,3.78,94,100,18.1
5512909,spring valley,US,1644099266,36.108,-115.245,63.95,19,40,0.0
2090990,mendi,PG,1644099535,-6.1761,143.6513,56.35,96,100,1.48
986717,kruisfontein,ZA,1644099798,-34.0033,24.7314,67.89,80,52,16.71
4061234,fairhope,US,1644099364,30.523,-87.9033,51.84,40,0,9.22
3696183,iquitos,PE,1644099731,-3.7481,-73.2472,77.04,94,75,3.44
921786,mitsamiouli,KM,1644099799,-11.3847,43.2844,81.82,75,98,10.25
646005,mikkeli,FI,1644099799,61.6886,27.2723,23.11,93,100,4.61
554830,izhma,RU,1644099799,65.0083,53.9113,-10.08,100,83,2.19
2026696,bikin,RU,1644099800,46.8161,134.26,-17.68,100,91,2.48
3698359,chicama,PE,1644099800,-7.8447,-79.1469,66.74,63,11,10.27
2014624,udachnyy,RU,1644099592,66.4167,112.4,-32.17,100,91,2.68
3474574,palmas,BR,1644099800,-10.2128,-48.3603,82.27,78,40,4.61
146214,pafos,CY,1644099801,34.7667,32.4167,49.78,76,40,2.3
1645528,denpasar,ID,1644099801,-8.65,115.2167,80.26,88,40,6.91
317106,denizli,TR,1644099707,37.8402,29.0698,34.65,58,40,3.06
1730802,andili,PH,1644099801,7.462,125.9701,75.92,95,41,3.31
4726521,san patricio,US,1644099444,28.017,-97.5169,55.81,28,0,4.85
1691538,romblon,PH,1644099802,12.5751,122.2708,78.89,75,98,22.06
2409914,bonthe,SL,1644099442,7.5264,-12.505,77.52,84,42,7.47
1687894,santa rosa,PH,1644099777,14.3122,121.1114,78.78,71,94,14.58
2152659,port macquarie,AU,1644099496,-31.4333,152.9167,67.89,74,96,14.94
2098329,daru,PG,1644099802,-9.0763,143.2092,78.26,89,94,13.02
2181625,te anau,NZ,1644099240,-45.4167,167.7167,56.73,56,13,4.05
2139521,noumea,NC,1644099803,-22.2763,166.4572,78.78,79,18,8.9
3393536,olinda,BR,1644099655,-8.0089,-34.8553,82.13,65,0,8.05
107304,buraydah,SA,1644099778,26.326,43.975,50.45,43,0,8.03
343292,asosa,ET,1644099803,10.0667,34.5333,61.95,32,26,5.57
3347353,menongue,AO,1644099804,-14.6585,17.691,59.59,98,100,2.84
2120048,ust-nera,RU,1644099804,64.5667,143.2,-24.47,69,7,2.42
1852357,shimoda,JP,1644099804,34.6667,138.95,35.1,61,5,26.44
2092164,lorengau,PG,1644099805,-2.0226,147.2712,82.44,73,81,6.76
2194098,ahipara,NZ,1644099733,-35.1667,173.1667,73.08,93,99,5.99
1788450,xinzhou,CN,1644099805,38.4092,112.7333,23.77,32,33,1.05
608872,makat,KZ,1644099806,47.6469,53.3463,27.18,84,100,20.22
712602,bilky,UA,1644099806,48.315,23.1325,32.52,94,99,1.1
2126199,cherskiy,RU,1644099083,68.75,161.3,-32.85,97,17,1.52
706200,khrystynivka,UA,1644099806,48.8249,29.9681,28.69,92,100,9.1
1062663,mahajanga,MG,1644099807,-15.7167,46.3167,82.42,74,40,13.8
5367788,lompoc,US,1644099635,34.6391,-120.4579,75.51,31,0,13.8
1529484,hami,CN,1644099517,42.8,93.45,26.37,28,100,8.99
1714733,dingle,PH,1644099066,10.9995,122.6711,74.28,84,92,10.6
2015352,terney,RU,1644099808,45.0503,136.6092,2.21,80,67,13.4
2400547,tsogni,GA,1644099808,-2.7942,10.0988,75.7,88,35,4.72
2319133,warri,NG,1644099808,5.5167,5.75,79.21,78,2,3.6
1502879,kolosovka,RU,1644099809,56.4678,73.611,9.59,84,100,7.56
1701054,marawi,PH,1644099377,7.9986,124.2928,65.64,91,11,1.45
1529660,aksu,CN,1644099516,41.1231,80.2644,22.62,64,80,5.79
2982343,royan,FR,1644099809,45.6285,-1.0281,44.78,85,6,5.55
2511180,santa cruz de la palma,ES,1644099810,28.6835,-17.7642,67.14,68,0,8.05
3361934,saldanha,ZA,1644099810,-33.0117,17.9442,73.45,75,34,4.14
779350,karasjok,NO,1644099810,69.4719,25.5112,26.71,88,100,25.05
3421719,narsaq,GL,1644099380,60.9167,-46.05,1.62,71,42,7.45
3929631,san isidro,PE,1644099811,-12.1167,-77.05,76.01,71,0,5.75
6316343,alta floresta,BR,1644099372,-9.8756,-56.0861,80.42,94,40,1.14
3466704,castro,BR,1644099811,-24.7911,-50.0119,67.98,96,68,9.35
2470260,jabinyanah,TN,1644099812,35.035,10.9081,57.0,78,100,8.95
2387435,damara,CF,1644099812,4.9608,18.7035,72.82,23,99,3.49
2178753,kirakira,SB,1644099591,-10.4544,161.9205,83.95,78,88,7.36
3129371,arroyo,ES,1644099812,41.6096,-4.7969,35.6,83,0,11.5
2427336,moussoro,TD,1644099813,13.6408,16.4901,64.81,15,0,15.39
1726449,basco,PH,1644099813,20.4487,121.9702,72.41,74,53,28.36
2145554,ulladulla,AU,1644099813,-35.35,150.4667,69.87,72,99,11.77
777019,vardo,NO,1644099814,70.3705,31.1107,26.85,79,97,28.74
1486321,yar-sale,RU,1644099442,66.8333,70.8333,-12.82,100,80,2.28
2171465,clarence town,AU,1644099814,-32.5833,151.7833,73.94,81,86,9.55
3932145,pisco,PE,1644099662,-13.7,-76.2167,74.01,83,0,8.05
2686469,ornskoldsvik,SE,1644099663,63.2909,18.7153,6.62,92,53,3.44
1185106,jamalpur,BD,1644099815,24.9167,89.9333,56.26,83,0,3.71
6551871,kronshagen,DE,1644099815,54.3433,10.0994,42.91,93,100,17.27
2112309,katsuura,JP,1644099374,35.1333,140.3,32.14,56,8,11.81
1651810,airai,TL,1644099375,-8.9266,125.4092,60.8,91,93,1.5
3450144,santa luzia,BR,1644099393,-19.7697,-43.8514,76.1,81,20,2.3
1218436,sayat,TM,1644099816,38.7839,63.8803,48.07,68,100,15.12
4151316,clearwater,US,1644099781,27.9659,-82.8001,62.98,77,100,8.01
2016422,slyudyanka,RU,1644099816,51.6594,103.7061,15.39,80,96,6.04
6533368,moranbah,AU,1644099816,-22.0016,148.0466,72.16,62,2,20.18
3388847,sao felix do xingu,BR,1644099817,-6.6447,-51.995,77.11,87,97,2.26
5838199,sheridan,US,1644099817,44.8333,-106.9173,44.98,39,100,8.01
2264557,ponta do sol,PT,1644099817,32.6667,-17.1,66.0,55,4,11.32
3175788,oga,IT,1644099818,46.4631,10.347,29.7,52,4,1.97
779622,havoysund,NO,1644099818,70.9963,24.6622,29.28,71,52,34.02
3357804,eenhana,NA,1644099818,-17.4667,16.3333,69.55,84,100,12.57
924572,nsanje,MW,1644099819,-16.92,35.262,71.4,96,22,1.32
1799629,nanyang,CN,1644099819,32.9947,112.5328,34.34,42,99,8.25
2892786,karlstadt,DE,1644099819,49.9603,9.7722,41.68,81,93,15.84
525426,sobolevo,RU,1644099820,54.4299,31.8996,30.56,96,100,14.09
2070998,geraldton,AU,1644099135,-28.7667,114.6,73.81,88,100,10.36
2527087,tiznit,MA,1644099820,29.5833,-9.5,64.96,26,80,3.89
2112802,hasaki,JP,1644099176,35.7333,140.8333,19.8,44,18,12.91
183027,nyahururu,KE,1644099821,0.0421,36.3673,56.5,73,100,2.51
3571592,rock sound,BS,1644099821,24.9,-76.2,74.35,75,0,11.95
2271968,aljezur,PT,1644099822,37.3191,-8.8033,52.12,90,9,6.93
110690,faya,SA,1644099822,18.3851,42.4509,51.91,78,7,3.53
2618795,klaksvik,FO,1644099822,62.2266,-6.589,32.92,81,78,23.02
128477,kashan,IR,1644099823,33.9831,51.4364,44.19,42,0,6.91
3448903,sao joao da barra,BR,1644099823,-21.6403,-41.0511,77.36,83,32,26.91
1067565,beloha,MG,1644099823,-25.1667,45.05,75.31,83,100,19.13
3461733,guiratinga,BR,1644099824,-16.3494,-53.7583,75.67,85,39,3.13
